MAV_total,VAR_total,RMS_total,Dedo_corazon
259.71820448877804,88301.6275,296.78514777554085,Dedo corazon
262.0648379052369,86046.785,292.9713373160898,Dedo corazon
337.67331670822944,152841.3325,390.46149879967396,Dedo corazon
305.98254364089775,125827.7475,354.27949784529756,Dedo corazon
365.5960099750623,190895.49,436.3707613904817,Dedo corazon
383.8952618453865,194046.65,439.9576606244567,Dedo corazon
341.857855361596,159613.8025,399.01849968675555,Dedo corazon
323.8678304239402,143939.2525,378.91991468598735,Dedo corazon
325.28428927680795,147265.5375,383.2731294658857,Dedo corazon
286.8827930174564,108443.42,328.89662134350374,Dedo corazon
357.1172069825436,175926.425,418.9125275468148,Dedo corazon
307.18204488778053,128361.79,357.8291293138894,Dedo corazon
320.77556109725685,154003.1425,391.94271872697453,Dedo corazon
332.6184538653367,151999.175,389.3842892160382,Dedo corazon
282.2568578553616,98666.2225,313.71989428441645,Dedo corazon
302.1221945137157,115423.7675,339.31685440130735,Dedo corazon
327.6832917705736,131444.3225,362.1001673184781,Dedo corazon
340.55610972568576,163328.5925,403.63509420862795,Dedo corazon
295.498753117207,120242.5725,346.3274688942868,Dedo corazon
