MAV_total,VAR_total,RMS_total,Dedo_pulgar
489.19700748129674,241987.205,491.3081982176872,Dedo pulgar
480.1321695760598,233337.0875,482.4470950283014,Dedo pulgar
465.5660847880299,218587.32,466.94990573276743,Dedo pulgar
506.1172069825436,262024.8225,511.24494522191867,Dedo pulgar
499.7506234413965,252634.39,502.0003775420583,Dedo pulgar
485.50374064837905,239926.6125,489.2119088601315,Dedo pulgar
485.8229426433915,239213.8875,488.4847429957776,Dedo pulgar
459.857855361596,214294.4375,462.3419053108682,Dedo pulgar
487.785536159601,241868.76,491.1879436732696,Dedo pulgar
487.8778054862843,240222.2575,489.51322709529194,Dedo pulgar
514.1371571072319,269982.3825,518.9500069618323,Dedo pulgar
518.4214463840399,274780.4275,523.5410103575311,Dedo pulgar
480.7581047381546,234100.02,483.2351698980879,Dedo pulgar
534.7306733167082,294984.6925,542.447296818259,Dedo pulgar
532.5261845386534,291015.6375,538.7855906742537,Dedo pulgar
321.0074812967581,110930.635,332.64696000414614,Dedo pulgar
328.3092269326683,110432.6,331.8993928625716,Dedo pulgar
350.2568578553616,126002.2475,354.52507306454567,Dedo pulgar
352.39401496259353,126571.45,355.32493646494254,Dedo pulgar
333.55361596009976,113778.7775,336.8902490429923,Dedo pulgar
298.5885286783042,90284.535,300.0989612339,Dedo pulgar
325.2793017456359,108086.5875,328.35505917798884,Dedo pulgar
323.46882793017454,106835.2625,326.44883274259456,Dedo pulgar
295.66832917705733,88926.9125,297.83409748706606,Dedo pulgar
303.74064837905235,93448.36,305.31184335980254,Dedo pulgar
330.24688279301745,112898.1375,335.5839626829254,Dedo pulgar
311.3067331670823,97959.725,312.5946839102955,Dedo pulgar
305.51122194513715,94582.77,307.1594093351889,Dedo pulgar
290.7431421446384,86412.415,293.5931243971269,Dedo pulgar
314.0997506234414,104876.86,323.44291875964853,Dedo pulgar
334.51122194513715,120176.5675,346.2324007248898,Dedo pulgar
324.8977556109726,110442.27,331.91392388363346,Dedo pulgar
309.18703241895264,97116.545,311.2464603850852,Dedo pulgar
318.73067331670825,105185.6725,323.91876155878276,Dedo pulgar
375.40149625935163,154154.28,392.13499634895635,Dedo pulgar
343.9576059850374,120890.5575,347.2593912164651,Dedo pulgar
364.05985037406487,137241.93,369.99956864570123,Dedo pulgar
370.67331670822944,143092.37,377.8035616190904,Dedo pulgar
336.3216957605985,115857.5525,339.95386587402305,Dedo pulgar
357.00997506234415,132259.3275,363.22101225101005,Dedo pulgar
302.3815461346633,95363.1375,308.4239358245825,Dedo pulgar
338.7705735660848,118453.1475,343.7408225934287,Dedo pulgar
342.4189526184539,121079.335,347.5304181236471,Dedo pulgar
314.25935162094765,101556.055,318.28100478191834,Dedo pulgar
315.56857855361596,102529.4425,319.80268620625776,Dedo pulgar
312.0523690773067,101627.7375,318.39331297254955,Dedo pulgar
