MAV_total,VAR_total,RMS_total,Dedo_anular
368.47630922693264,168478.9925,409.94980837479807,Dedo anular
381.19451371571074,176095.9375,419.11429886275886,Dedo anular
399.95261845386534,193152.4275,438.9427646327496,Dedo anular
424.9002493765586,213607.2975,461.6000552129176,Dedo anular
391.22443890274315,186532.9575,431.35575576306525,Dedo anular
373.6832917705736,170464.3675,412.35818086547437,Dedo anular
420.7780548628429,211068.81,458.84905346457526,Dedo anular
403.96758104738154,194801.4575,440.81250927029856,Dedo anular
411.8703241895262,205729.81,453.008573958375,Dedo anular
398.14463840399003,190981.165,436.4686732666414,Dedo anular
439.71072319201994,227122.875,475.9794993384943,Dedo anular
410.6708229426434,202043.4525,448.9316245167763,Dedo anular
412.0448877805486,202385.065,449.3109881694143,Dedo anular
426.17955112219454,217603.23,465.89760522416935,Dedo anular
424.44389027431424,209696.23,457.3546728285442,Dedo anular
433.9576059850374,221367.5675,469.9101282993422,Dedo anular
454.8379052369077,244184.39,493.53363752795116,Dedo anular
425.53117206982546,214140.345,462.1756475378786,Dedo anular
414.9002493765586,206123.4425,453.44174813598545,Dedo anular
366.713216957606,171374.605,413.45766035681413,Dedo anular
349.3441396508728,173773.5725,416.3414727662105,Dedo anular
520.3840399002494,323676.715,568.216104265914,Dedo anular
386.19700748129674,184105.1425,428.5394117597837,Dedo anular
405.5286783042394,196460.7975,442.6859725857479,Dedo anular
428.3142144638404,215425.615,463.560561323936,Dedo anular
428.7630922693267,217650.75,465.9484735996839,Dedo anular
450.00997506234415,236392.16,485.59515377172323,Dedo anular
421.3017456359102,208982.175,456.57531957377006,Dedo anular
416.9551122194514,206032.0225,453.34118159799726,Dedo anular
413.6832917705736,204919.7275,452.11581009257003,Dedo anular
420.9002493765586,212751.6175,460.6745758536119,Dedo anular
429.79052369077306,217463.715,465.74822755574894,Dedo anular
429.00997506234415,219319.0575,467.7308277011949,Dedo anular
420.6159600997506,209807.1475,457.47561427453195,Dedo anular
392.8354114713217,185405.6025,430.05028123351747,Dedo anular
408.4937655860349,201057.175,447.8345515211612,Dedo anular
384.2418952618454,181825.2375,425.87769133878083,Dedo anular
406.53865336658356,197943.025,444.35278945479723,Dedo anular
395.34164588528677,190626.735,436.06347772827615,Dedo anular
418.53117206982546,207999.1925,455.50026484275554,Dedo anular
361.0224438902743,161113.33,400.8884522185623,Dedo anular
321.9925187032419,132049.1475,362.93229104104154,Dedo anular
352.428927680798,154770.825,392.91839209038403,Dedo anular
352.46134663341644,153988.9125,391.9246104155448,Dedo anular
346.1620947630923,149348.5575,385.9742442274906,Dedo anular
404.81795511221947,201252.055,448.0515367132694,Dedo anular
359.25436408977555,154828.2175,392.9912368227202,Dedo anular
379.79551122194516,172459.685,414.7645247276683,Dedo anular
343.788029925187,147453.6025,383.51778026650686,Dedo anular
357.8528678304239,155559.4725,393.91819409732494,Dedo anular
369.3466334164589,163997.32,404.4605656021141,Dedo anular
367.59850374064837,162372.1575,402.45153671156015,Dedo anular
374.788029925187,168359.9,409.80489244921387,Dedo anular
408.571072319202,198045.1525,444.467405232616,Dedo anular
327.1346633416459,135532.8175,367.68849645309837,Dedo anular
357.65835411471323,157683.6225,396.59853316512425,Dedo anular
376.6209476309227,172657.4475,415.00226541460216,Dedo anular
337.75311720698255,142478.9075,376.99283614379283,Dedo anular
318.34912718204487,125371.715,353.6369145489068,Dedo anular
306.3366583541147,118437.3425,343.71788945466903,Dedo anular
306.51870324189525,119323.245,345.0009866623645,Dedo anular
356.1720698254364,155853.5475,394.29035657340523,Dedo anular
357.4039900249377,155435.6375,393.7613712089584,Dedo anular
329.48129675810475,133513.55,364.9391709637932,Dedo anular
359.5860349127182,157226.145,396.02280218489193,Dedo anular
339.2369077306733,145026.405,380.3481867212523,Dedo anular
353.8802992518703,152192.225,389.6314839265853,Dedo anular
366.4114713216958,163779.5575,404.19194657465715,Dedo anular
375.02493765586036,169613.4375,411.327681230711,Dedo anular
337.3441396508728,143322.5825,378.107351920139,Dedo anular
348.4937655860349,151550.27,388.80887226517825,Dedo anular
361.8453865336658,162247.72,402.29729332851764,Dedo anular
349.3765586034913,151974.52,389.3527079295453,Dedo anular
350.71820448877804,151728.15,389.03698482419026,Dedo anular
351.6209476309227,155327.24,393.62404686999776,Dedo anular
364.857855361596,163949.305,404.40135245240793,Dedo anular
341.81412639405204,148604.21641791044,384.77497889885865,Dedo anular
