MAV_total,VAR_total,RMS_total,Mano_cerrada
334.501246882793,146594.3025,382.39865412069213,Mano cerrada
327.45885286783044,132191.6925,363.1281280849554,Mano cerrada
325.53117206982546,131214.525,361.7835081000336,Mano cerrada
341.54862842892766,147791.3925,383.95681451365243,Mano cerrada
336.55361596009976,137610.595,370.4961894998587,Mano cerrada
319.7581047381546,127019.0575,355.9526678445266,Mano cerrada
340.57605985037407,149923.3275,386.7162446359561,Mano cerrada
523.3416458852868,312610.45,558.4181881152825,Mano cerrada
699.1197007481297,523616.3125,722.7105479786503,Mano cerrada
393.50374064837905,181840.0325,425.895017680165,Mano cerrada
371.354114713217,170865.8425,412.84348504263045,Mano cerrada
337.71820448877804,139953.9625,373.63745813915426,Mano cerrada
309.072319201995,121258.385,347.7872841443011,Mano cerrada
281.5586034912718,93124.2825,304.7819751380933,Mano cerrada
310.0349127182045,126538.28,355.2783742250856,Mano cerrada
279.32668329177056,102572.27,319.8694715082897,Mano cerrada
281.19451371571074,102569.6275,319.86535119135374,Mano cerrada
316.15960099750623,137531.4,370.3895637402339,Mano cerrada
339.74064837905235,168081.08,409.465413908223,Mano cerrada
388.43890274314214,191151.275,436.6630148394507,Mano cerrada
347.06733167082297,143269.36,378.03714076860064,Mano cerrada
373.8728179551122,164651.0225,405.26586513841016,Mano cerrada
378.5087281795511,175210.445,418.05921975474376,Mano cerrada
420.8802992518703,214119.9725,462.1536621961323,Mano cerrada
321.6209476309227,120042.64,346.03942231415084,Mano cerrada
393.18204488778053,199701.845,446.3225687901871,Mano cerrada
413.3291770573566,209005.9975,456.60134202185566,Mano cerrada
385.640897755611,185797.79,430.50488251045033,Mano cerrada
405.1720698254364,202091.675,448.98519545265725,Mano cerrada
452.1197007481297,261695.58,510.9236465153855,Mano cerrada
501.9775561097257,294678.1575,542.1653799827783,Mano cerrada
389.8453865336658,182604.885,426.78977403628727,Mano cerrada
323.38653366583543,131046.665,361.55202300175057,Mano cerrada
363.8354114713217,159792.635,399.2419687682335,Mano cerrada
348.23192019950125,141346.3125,375.49144854467,Mano cerrada
342.0798004987531,147673.985,383.80427394474697,Mano cerrada
330.45386533665834,140803.73,374.7700608422992,Mano cerrada
363.2369077306733,156428.145,395.0165184841157,Mano cerrada
375.81296758104736,179139.1325,422.7202402254467,Mano cerrada
359.1845386533666,153595.2175,391.4232837126823,Mano cerrada
418.45137157107234,213512.1625,461.49725158115257,Mano cerrada
365.7007481296758,161875.095,401.8350612612753,Mano cerrada
379.211970074813,179702.825,423.3847993011815,Mano cerrada
376.5635910224439,178716.4,422.2211780477383,Mano cerrada
329.2418952618454,130723.835,361.1064114620543,Mano cerrada
322.0423940149626,129128.8125,358.8966362495223,Mano cerrada
306.2992518703242,115644.935,339.64178724193783,Mano cerrada
302.8728179551122,113762.495,336.8661425625727,Mano cerrada
276.82543640897757,92072.6175,303.0561168745194,Mano cerrada
298.2369077306733,107340.6975,327.22013226969017,Mano cerrada
330.9850374064838,132815.4125,363.98379358841305,Mano cerrada
298.8827930174564,104116.68,322.26857961409115,Mano cerrada
282.5860349127182,97760.6375,312.2768729613733,Mano cerrada
260.01745635910225,78651.4425,280.0987401603254,Mano cerrada
287.1296758104738,98822.3475,313.9680043104286,Mano cerrada
271.20199501246884,85795.375,292.54302494912446,Mano cerrada
282.6832917705736,93273.155,305.0254966653773,Mano cerrada
284.8852867830424,99567.5025,315.14949546013565,Mano cerrada
348.6159600997506,152671.3825,390.24435404032323,Mano cerrada
311.8004987531172,113954.165,337.1498035368516,Mano cerrada
310.91022443890273,121861.0375,348.6504619793354,Mano cerrada
236.8229426433915,63532.085,251.74123792660183,Mano cerrada
265.8703241895262,83323.915,288.29867271335,Mano cerrada
268.02493765586036,84651.1,290.58561561095894,Mano cerrada
286.45386533665834,93024.52,304.61867745324906,Mano cerrada
258.8728179551122,80211.2,282.862461400988,Mano cerrada
296.68079800498754,108521.7325,329.0153563865289,Mano cerrada
287.6034912718205,95067.5475,307.94556551717994,Mano cerrada
262.7431421446384,76210.25,275.7176082538924,Mano cerrada
266.18703241895264,77528.4375,278.0918908393832,Mano cerrada
245.40648379052368,65530.63,255.67012334270663,Mano cerrada
250.83790523690774,71135.505,266.37963459259754,Mano cerrada
332.3615960099751,136100.0975,368.45718307640374,Mano cerrada
355.2992518703242,148203.5475,384.49182383181596,Mano cerrada
315.2992518703242,109362.7475,330.28778730660065,Mano cerrada
300.3840399002494,102559.625,319.8497543170205,Mano cerrada
304.6832917705736,106352.94,325.7111000537967,Mano cerrada
286.9850374064838,96840.8525,310.804366305741,Mano cerrada
308.8902743142145,111980.3925,334.2172043011443,Mano cerrada
371.573566084788,163431.5175,403.7622538152682,Mano cerrada
532.6134663341646,320739.285,565.631891258774,Mano cerrada
414.5511221945137,201805.2275,448.6668837440296,Mano cerrada
468.45137157107234,251147.4475,500.52087332937873,Mano cerrada
321.8279301745636,124630.1075,352.5894343665628,Mano cerrada
444.79052369077306,228170.9075,477.07641184944595,Mano cerrada
408.8503740648379,188592.5875,433.73065581707647,Mano cerrada
