MAV_total,VAR_total,RMS_total,Mano_abierta
157.41645885286783,24879.09,157.5342736725762,Mano abierta
158.63341645885288,25297.67,158.8539692332147,Mano abierta
153.90523690773068,23776.33,154.00336816603652,Mano abierta
155.67581047381546,24365.695,155.90039341941755,Mano abierta
156.39152119700748,24551.3525,156.4932176870451,Mano abierta
151.30423940149626,22986.8475,151.42497710342593,Mano abierta
153.91271820448878,23802.9975,154.0897089490081,Mano abierta
149.2718204488778,22361.305,149.35039721116303,Mano abierta
154.76309226932668,24260.705,155.56414911147766,Mano abierta
164.31920199501246,27370.675,165.23443634006335,Mano abierta
162.83042394014961,26733.3425,163.29934418262008,Mano abierta
175.48877805486285,31119.6075,176.1874073075757,Mano abierta
170.85536159600997,29466.9325,171.44517747024992,Mano abierta
194.06234413965086,39655.8425,198.88929112621494,Mano abierta
164.56109725685786,27251.2975,164.87370667307658,Mano abierta
156.0498753117207,24493.565,156.30893701424654,Mano abierta
165.2718204488778,27574.225,165.84770527997492,Mano abierta
161.91770573566086,26414.4675,162.32250617204954,Mano abierta
