MAV_total,VAR_total,RMS_total,Wav_Leng,Dasdv,Damv,iav,Mano_abierta
255.77227722772278,66295.07,256.2004745669235,1503,18.36872341780996,12.278600137241444,25833,Mano_abierta
253.67326732673268,65260.41,254.19336601637085,1732,21.363052216385185,13.339476521909615,25621,Mano_abierta
255.96039603960395,66363.12,256.33193208404725,1605,19.649173010587493,10.971473384962255,25852,Mano_abierta
270.38613861386136,74150.13,270.95381580082926,1960,23.939507096011816,14.556023919223604,27309,Mano_abierta
255.17821782178217,65988.97,255.60832118963995,1687,20.78148214156055,12.404862268405056,25773,Mano_abierta
255.63366336633663,66224.95,256.06494767098167,1756,22.097511172075464,11.89804921086168,25819,Mano_abierta
252.63366336633663,64627.68,252.95810321118006,1366,17.695762204550558,9.95745515145574,25516,Mano_abierta
256.04545454545456,66384.85321100918,256.4787604178064,1667,19.038589493664094,12.378512396694218,28165,Mano_abierta
248.13861386138615,62447.0,248.6538012403734,1938,23.574138372377472,12.95186746397412,25062,Mano_abierta
255.62376237623764,66270.3,256.15260766941566,1779,21.937410968480304,13.144789726497402,25818,Mano_abierta
262.7524752475247,70122.78,263.49287476040973,1866,24.05535283466031,15.720223507499263,26538,Mano_abierta
255.40594059405942,66175.18,255.96870941195098,1683,21.664948649835292,13.922948730516618,25796,Mano_abierta
251.79207920792078,64301.33,252.3186143912431,1827,22.43457153591305,13.124203509459855,25431,Mano_abierta
244.72277227722773,60664.67,245.07963951126234,1535,18.549663069716388,10.247034604450544,24717,Mano_abierta
248.82178217821783,62765.79,249.28767826479805,1620,21.083168642308014,12.041368493284972,25131,Mano_abierta
251.75247524752476,64298.29,252.31264983612442,1945,23.829183787952118,13.314577002254678,25427,Mano_abierta
250.15841584158414,63474.28,250.69068946049475,1788,23.019556902772912,13.245956278796196,25266,Mano_abierta
253.5049504950495,65185.8,254.04801916095303,1763,21.384340064636085,13.846681697872759,25604,Mano_abierta
252.72277227722773,64775.89,253.24799022787022,1764,21.678560837841612,13.606705224977942,25525,Mano_abierta
249.24752475247524,62985.08,249.7227769878724,1767,21.831857456478595,11.923144789726496,25174,Mano_abierta
250.43564356435644,63590.48,250.92004959175486,1927,22.889954128394404,12.972061562591906,25294,Mano_abierta
249.82178217821783,63261.96,250.27106097269024,1893,22.553270272845133,12.568963827075777,25232,Mano_abierta
254.2871287128713,65640.67,254.93285856522618,1851,24.2386055704531,14.668954024115285,25683,Mano_abierta
249.59405940594058,63166.35,250.0818677834509,1845,23.185555848415625,11.879619645132832,25209,Mano_abierta
249.8118811881188,63318.53,250.38293444519365,1730,21.562931155109688,13.698656994412312,25231,Mano_abierta
258.9009900990099,67981.83,259.43928494786104,1880,23.504042205544135,13.25654347612979,26149,Mano_abierta
260.03960396039605,68607.94,260.631259570579,2030,25.648001871490887,14.538966767963926,26264,Mano_abierta
272.6930693069307,75465.04,273.34568111850353,2012,24.964374616641212,15.038133516321928,27542,Mano_abierta
261.0693069306931,69134.06,261.6286764795397,1913,24.13110026501071,13.137927654151554,26368,Mano_abierta
256.34653465346537,66605.37,256.7993592108226,1740,22.083930809527548,12.52818351142045,25891,Mano_abierta
254.01980198019803,65362.92,254.39292910031446,1640,19.665197685250966,11.267914910302913,25656,Mano_abierta
252.27358490566039,64484.08571428571,252.7365135531842,1757,21.0606832973762,12.335350658597369,26741,Mano_abierta
253.5049504950495,65183.78,254.04408286674177,1696,20.8269056751117,13.055190667581611,25604,Mano_abierta
254.54455445544554,65674.89,254.9993011056235,1619,20.81129501016215,12.731692971277322,25709,Mano_abierta
259.05940594059405,68106.45,259.67696993162735,1834,23.112334369336214,14.523674149593171,26165,Mano_abierta
275.26732673267327,77106.4,276.3023168506368,1580,20.67268729507608,19.521419468679543,27802,Mano_abierta
255.43564356435644,66209.45,256.03497981933856,1790,21.722799082991123,14.15155376923831,25799,Mano_abierta
247.990099009901,62339.15,248.43898786838852,1510,19.757024067404483,11.594353494755417,25047,Mano_abierta
256.3069306930693,66651.03,256.887366002848,1825,22.087779426642236,13.87275757278698,25887,Mano_abierta
276.94059405940595,78071.29,278.02573069896437,2129,26.97758328686986,18.71581217527693,27971,Mano_abierta
262.990099009901,70212.68,263.6617244700016,1839,21.84101645986285,15.276933633957455,26562,Mano_abierta
254.11881188118812,65444.96,254.5525291546126,1621,19.891958174096384,12.10489167728654,25666,Mano_abierta
253.21782178217822,65142.09,253.96282958708974,1967,24.245618160814132,15.817076757180667,25575,Mano_abierta
252.1089108910891,64421.89,252.5550425252889,1490,18.44017353497521,12.25938633467307,25463,Mano_abierta
255.5148514851485,66247.07,256.10770862244965,1620,20.963778285414108,14.036270953828055,25807,Mano_abierta
262.4752475247525,69919.42,263.11052528329515,1902,23.910248848558645,14.478972649740221,26510,Mano_abierta
253.6039603960396,65217.14,254.10908236931292,1739,21.068697159530295,12.946573865307323,25614,Mano_abierta
246.77227722772278,61736.48,247.23516684074755,1698,21.43641761115882,12.238996176845408,24924,Mano_abierta
248.56435643564356,62634.91,249.0276337602669,1812,22.966932751240424,12.39780413684933,25105,Mano_abierta
252.4257425742574,64683.07,253.06648052311556,1926,23.987079855622277,15.131457700225468,25495,Mano_abierta
249.53465346534654,63165.43,250.08004659102713,1972,23.80126047082381,13.252818351142045,25203,Mano_abierta
255.97058823529412,66506.92079207921,256.6220804156625,1811,22.013722093186324,15.009803921568627,26109,Mano_abierta
250.0891089108911,63398.43,250.54086048442724,1433,18.844362552232962,12.034114302519361,25259,Mano_abierta
253.69306930693068,65361.67,254.39049658443463,2392,29.22259399848001,15.584942652681107,25623,Mano_abierta
251.87128712871288,64293.71,252.3036634967106,1665,20.624984848479283,12.231545926869911,25439,Mano_abierta
