MAV_total,VAR_total,RMS_total,Wav_Leng,Dasdv,Damv,iav,Dedo_Indice
455.34,210441.797979798,456.43989746734457,1177,15.713662587671656,24.594399999999993,45534,Dedo indice
467.25,222368.55555555556,469.1959825062444,1484,18.92355701502786,28.615,46725,Dedo indice
445.55,202100.05050505052,447.3019673553873,1368,17.3053386986429,30.588999999999995,44555,Dedo indice
459.5,214600.9090909091,460.9283024506089,1303,16.477410309422126,26.67,45950,Dedo indice
457.84,213782.101010101,460.0481279170691,1589,19.94107481171626,37.71759999999999,45784,Dedo indice
429.77,187304.27272727274,430.61726625856517,1145,14.388196621543717,22.562399999999997,42977,Dedo indice
421.01,180127.74747474748,422.28718900767046,1465,18.342146641937617,25.95200000000001,42101,Dedo indice
411.71,171946.35353535353,412.58561535758855,1557,19.85833667137143,20.3242,41171,Dedo indice
423.76,182679.0909090909,425.2673276893018,1357,16.673029088617913,29.957599999999992,42376,Dedo indice
468.81,226381.50505050505,473.41069907639394,1653,23.75187392926114,46.11579999999998,46881,Dedo indice
443.16,199689.69696969696,444.6265849001834,1255,15.404643141047776,27.741600000000002,44316,Dedo indice
466.72,222151.35353535353,468.966779207227,1626,20.482069024274658,36.52960000000001,46672,Dedo indice
406.05,167655.74747474748,407.40543688075644,1486,19.03213656482693,27.201000000000008,40605,Dedo indice
415.5,176149.71717171717,417.59815612619747,1491,19.52905113885051,33.75,41550,Dedo indice
404.15,166765.60606060605,406.322470459117,1434,18.316521217058373,30.629999999999995,40415,Dedo indice
428.46,188364.36363636365,431.83413482493484,1773,23.54299741478827,39.47959999999999,42846,Dedo indice
428.51,187281.9696969697,430.5916278795954,1257,16.16674476707158,35.132000000000005,42851,Dedo indice
416.14,176033.43434343435,417.4602975134282,1332,17.326338915132077,25.319200000000002,41614,Dedo indice
433.66,191968.64646464647,435.94605170823604,1672,22.047240373362108,35.4992,43366,Dedo indice
440.57,197735.88888888888,442.4460758103749,1674,21.00601164553912,31.312799999999992,44057,Dedo indice
447.68,204716.44444444444,450.1880495970545,1843,22.904500903013837,38.322399999999995,44768,Dedo indice
447.04,205007.87878787878,450.5083795003152,1674,21.252213194313804,42.61120000000001,44704,Dedo indice
446.23,203996.91919191918,449.3962060364996,1706,22.067389899344622,44.322199999999995,44623,Dedo indice
407.22,168232.12121212122,408.10513351341217,1315,17.765873539633862,20.917200000000012,40722,Dedo indice
412.01,173087.0606060606,413.9519174976727,1436,18.697485381621764,30.13339999999999,41201,Dedo indice
453.9,210042.9898989899,456.0071929257257,1723,22.080431484585045,35.68,45390,Dedo indice
438.59,196107.30303030304,440.62027869810987,1478,19.266341614118627,30.7526,43859,Dedo indice
435.76,194907.29292929292,439.27009914174675,1418,19.387072647993712,42.58159999999999,43576,Dedo indice
410.63,172088.898989899,412.7565989781387,1393,17.103664915314305,32.6708,41063,Dedo indice
401.5,164775.27272727274,403.89048020472086,1530,19.530344170913718,35.15,40150,Dedo indice
406.73,169355.2626262626,409.46515114231636,1572,19.46558735073491,39.6614,40673,Dedo indice
407.69,170658.0909090909,411.037115112492,1449,18.364161408635688,41.6632,40769,Dedo indice
412.14,173154.64646464647,414.03272817495963,1460,18.737420022268516,32.9312,41214,Dedo indice
381.93,148077.24242424243,382.8791846000511,1379,17.053984397740717,22.121599999999997,38193,Dedo indice
389.96,154407.87878787878,390.97800449641664,1211,15.26566094345096,22.276799999999998,38996,Dedo indice
418.33,178359.40404040404,420.2092454956221,1410,18.306592067649103,30.3162,41833,Dedo indice
407.22,169326.74747474748,409.43067789309583,1366,17.066714015085836,32.268400000000014,40722,Dedo indice
440.17,202034.27272727274,447.22916944224465,1552,24.051711965780076,59.9176,44017,Dedo indice
431.93,193255.40404040404,437.40467532937964,1348,18.026355564824936,54.59460000000002,43193,Dedo indice
439.29,202307.9292929293,447.53195416640364,1844,25.245861747096995,66.3828,43929,Dedo indice
413.77,174611.58585858587,415.7709345300607,1325,18.50661907250888,28.976399999999995,41377,Dedo indice
417.18,177282.28282828283,418.9384919054347,1475,18.665313803789623,25.22480000000001,41718,Dedo indice
439.63,200092.85858585857,445.07519589390733,1555,22.276726089183867,54.9442,43963,Dedo indice
464.99,224778.47474747474,471.7315868160622,1476,20.20151009456991,62.549,46499,Dedo indice
409.9,171456.72727272726,411.99776698423983,1214,15.484107199240638,32.132,40990,Dedo indice
409.3,170440.58585858587,410.775096616141,1325,17.30154427626142,27.45999999999999,40930,Dedo indice
439.12,196787.33333333334,441.38357468306407,1514,18.513985977300425,34.790400000000005,43912,Dedo indice
422.05,182479.58585858587,425.0350456138882,1163,14.435856032599501,38.027000000000015,42205,Dedo indice
430.33,189080.1717171717,432.6538685831897,1384,18.945962497310475,31.209399999999995,43033,Dedo indice
414.37,174355.08080808082,415.46543779236316,1236,15.541407707648414,25.032199999999992,41437,Dedo indice
443.38,199924.50505050505,444.8879184693601,1268,15.98673692708295,26.2608,44338,Dedo indice
437.78,195733.45454545456,440.200090867778,1266,16.017036384595453,33.524799999999985,43778,Dedo indice
395.73,158869.48484848486,396.58642185531266,1135,14.312176069290926,21.2938,39573,Dedo indice
383.5,149571.0101010101,384.805535303223,1331,16.868774571839992,23.18,38350,Dedo indice
393.41,157737.14141414143,395.17055811383517,1146,14.976749657486778,26.903799999999997,39341,Dedo indice
408.04,170000.58585858587,410.2445368313879,1217,15.695653390462448,32.21440000000001,40804,Dedo indice
412.16,172849.31313131313,413.66752350166433,1099,14.264811547470527,26.055199999999996,41216,Dedo indice
412.48,173967.45454545456,415.0033493840742,1213,16.205436174819905,36.175200000000004,41248,Dedo indice
389.32,154478.9696969697,391.06799920218475,1178,14.811952585460817,26.624000000000006,38932,Dedo indice
404.72,166456.48484848486,405.945710655994,1139,14.86267102169021,24.962400000000006,40472,Dedo indice
391.78,155642.9292929293,392.53853314037843,1412,17.426903617595688,18.791599999999995,39178,Dedo indice
395.84,159979.33333333334,397.96927017044925,1409,18.354258031279496,30.9752,39584,Dedo indice
393.77,157458.51515151514,394.8213899980598,1077,13.742582939847438,22.376199999999997,39377,Dedo indice
377.05,144186.9595959596,377.816211933792,1434,17.54071742195192,20.506999999999998,37705,Dedo indice
412.39,174698.35353535353,415.8742237744484,1348,19.0326672918544,40.8782,41239,Dedo indice
394.11,157727.58585858587,395.15858841735934,1471,18.457978483489725,23.281000000000002,39411,Dedo indice
392.02,156937.797979798,394.1680098638143,1456,19.276300412054113,32.904799999999994,39202,Dedo indice
398.55,162029.74747474748,400.51148547825693,1254,16.383041244043806,32.184,39855,Dedo indice
406.84,168156.50505050505,408.0134066424779,1312,17.49516527732185,24.843999999999987,40684,Dedo indice
390.21,154529.2626262626,391.1316530274685,1382,17.40776559556978,19.0278,39021,Dedo indice
399.9,163083.0101010101,401.811124783772,1690,20.801126620615257,28.94,39990,Dedo indice
401.55,164541.52525252526,403.60390235972693,1555,20.194758795991667,31.39500000000001,40155,Dedo indice
394.73,159439.56565656565,397.2973319819805,1386,18.646634272623295,35.3922,39473,Dedo indice
375.5,143334.34343434343,376.6974913640918,1323,18.156168776657278,23.61,37550,Dedo indice
