MAV_total,VAR_total,RMS_total,Wav_Leng,Dasdv,Damv,iav,Mano_pinza
558.58,319479.6565656566,562.3920874265568,1557,21.14715158601792,56.0472,55858,Mano pinza
465.64,233289.31313131313,480.5792546500525,1292,17.590745960144595,112.03280000000002,46564,Mano pinza
337.7,136406.7676767677,367.4815641634285,1381,18.020470963251036,122.65,33770,Mano pinza
401.44,186966.68686868687,430.2290320282907,2176,31.766827243703663,142.47120000000004,40144,Mano pinza
371.83,160490.7373737374,398.6048544611568,2171,32.28487465227535,132.4832,37183,Mano pinza
246.21,66724.49494949495,257.01605008248026,1429,21.45490925902814,44.196000000000005,24621,Mano pinza
436.89,216514.31313131313,462.97858481791576,1403,18.611118649176824,146.99659999999997,43689,Mano pinza
393.44,174023.15151515152,415.06977726642543,1895,30.98174764064621,123.45359999999997,39344,Mano pinza
278.6,81275.19191919192,283.6590206568443,1505,20.68059159421869,35.96400000000001,27860,Mano pinza
405.29,188262.8383838384,431.7177434389279,1422,20.927966885959037,140.6022,40529,Mano pinza
445.74,220905.91919191918,467.6503608466479,1694,24.343086463837295,131.1668,44574,Mano pinza
243.95,60959.40404040404,245.6619832208476,1153,14.314293202913998,21.198999999999998,24395,Mano pinza
425.16,198494.88888888888,443.29441683829043,2017,28.228683742933992,109.2608,42516,Mano pinza
413.34,206112.38383838383,451.72033383499576,1598,25.391878125642354,175.30079999999998,41334,Mano pinza
413.76,206126.0606060606,451.7353207354944,1197,16.683930452790054,176.13999999999993,41376,Mano pinza
486.36,266001.3333333333,513.1679257319187,1352,22.344411544561368,142.30319999999992,48636,Mano pinza
456.08,222639.63636363635,469.4818846345405,1540,20.142923664090418,101.80159999999998,45608,Mano pinza
601.91,378063.9292929293,611.7869645554733,1239,18.972334989386386,87.79700000000001,60191,Mano pinza
403.86,179629.39393939395,421.70262033807666,1184,18.13752179791101,103.41479999999997,40386,Mano pinza
373.47,162404.85858585857,400.9748246461366,1351,19.739976359323904,138.3746,37347,Mano pinza
472.19,244444.1313131313,491.9346399675469,1323,19.95272189730291,130.25579999999994,47219,Mano pinza
313.64,107257.95959595959,325.860982629096,1473,19.402957183758033,60.58160000000001,31364,Mano pinza
501.18,264522.82828282827,511.7397776214001,2161,34.62920470039441,89.70399999999998,50118,Mano pinza
250.15,63759.0,251.23974605941632,1152,14.743599878379005,15.868999999999998,25015,Mano pinza
491.04,254789.61616161617,502.23671709662966,1692,24.06976392392612,89.2288,49104,Mano pinza
311.0,108776.78787878787,328.16005241345266,1446,22.368357882138653,73.74,31100,Mano pinza
424.75,206914.77777777778,452.5987516553708,1935,26.742128078023523,148.165,42475,Mano pinza
401.76,195052.0606060606,439.4332031151037,1673,26.712649748118523,170.90080000000006,40176,Mano pinza
345.95,139987.30303030304,372.2733270058439,1650,21.945754979406875,113.20700000000006,34595,Mano pinza
472.99,250242.39393939395,497.7348390458518,1483,21.45773388394831,146.25199999999998,47299,Mano pinza
312.08,112460.80808080808,333.67079584524623,1467,20.854231942197966,92.77040000000001,31208,Mano pinza
358.88,151579.63636363635,387.3807429390367,1227,16.401835324749545,130.7144,35888,Mano pinza
501.01,266728.8787878788,513.869234338854,1964,28.24317205408712,105.6484,50101,Mano pinza
306.5,124287.0303030303,350.77651004592656,1503,22.298933253463588,138.08,30650,Mano pinza
372.14,167687.05050505052,407.44346847139417,1220,15.785813859029226,156.96799999999993,37214,Mano pinza
370.58,175993.0909090909,417.4124578878786,1340,22.02111016568631,187.44959999999992,37058,Mano pinza
335.0,138839.85858585857,370.74446725473865,1279,18.662066532748383,144.56,33500,Mano pinza
486.47,261315.0606060606,508.6274766467105,1486,21.816961245320073,127.16199999999998,48647,Mano pinza
284.99,97465.101010101,310.629119690991,1249,21.694155056981675,89.74340000000002,28499,Mano pinza
338.17,138901.66666666666,370.8269812190046,1443,18.501160214779215,133.56780000000003,33817,Mano pinza
