MAV_total,VAR_total,RMS_total,Wav_Leng,Dasdv,Damv,iav,Dedo_pulgar
323.46882793017454,106835.2625,326.44883274259456,3818,12.435232205310843,35.87322218145409,129711,Dedo pulgar
295.66832917705733,88926.9125,297.83409748706606,3320,11.323206259712839,27.218873016958845,118563,Dedo pulgar
303.74064837905235,93448.36,305.31184335980254,2970,9.523129737644027,25.43169507652316,121800,Dedo pulgar
330.24688279301745,112898.1375,335.5839626829254,4060,15.529488079135126,43.29764118382348,132429,Dedo pulgar
311.3067331670823,97959.725,312.5946839102955,2905,9.549476425438202,22.407584529946956,124834,Dedo pulgar
305.51122194513715,94582.77,307.1594093351889,2934,9.992497185388645,24.865517005491256,122510,Dedo pulgar
290.7431421446384,86412.415,293.5931243971269,3288,11.51021285641582,30.584299848881535,116588,Dedo pulgar
314.0997506234414,104876.86,323.44291875964853,3786,14.014635207525025,50.07996218928987,125954,Dedo pulgar
334.51122194513715,120176.5675,346.2324007248898,3639,14.59169284216194,56.54477273151286,134139,Dedo pulgar
324.8977556109726,110442.27,331.91392388363346,3562,11.945501245238727,51.391272442335556,130284,Dedo pulgar
309.18703241895264,97116.545,311.2464603850852,3475,11.526816559657744,28.45083052966089,123984,Dedo pulgar
318.73067331670825,105185.6725,323.91876155878276,3756,12.948165893283882,45.04209550935629,127811,Dedo pulgar
375.40149625935163,154154.28,392.13499634895635,4256,16.68307525607914,81.269905037904,150536,Dedo pulgar
343.9576059850374,120890.5575,347.2593912164651,3731,12.522280143807677,34.79776867059284,137927,Dedo pulgar
364.05985037406487,137241.93,369.99956864570123,4421,14.24087427091469,51.78248891486994,145988,Dedo pulgar
370.67331670822944,143092.37,377.8035616190904,4958,18.261982367749674,58.87203437789566,148640,Dedo pulgar
336.3216957605985,115857.5525,339.95386587402305,4145,13.882813115503644,39.2884745741631,134865,Dedo pulgar
357.00997506234415,132259.3275,363.22101225101005,4727,15.423926218703201,53.27807662887668,143161,Dedo pulgar
302.3815461346633,95363.1375,308.4239358245825,3865,13.67707936658993,50.33800784820991,121255,Dedo pulgar
338.7705735660848,118453.1475,343.7408225934287,4522,15.102152164509533,44.87127567614628,135847,Dedo pulgar
342.4189526184539,121079.335,347.5304181236471,4721,15.526348572668333,47.54812470071704,137310,Dedo pulgar
314.25935162094765,101556.055,318.28100478191834,4160,13.883803513446882,40.7659529480538,126018,Dedo pulgar
315.56857855361596,102529.4425,319.80268620625776,3872,12.938121965725937,42.9498324015398,126543,Dedo pulgar
312.0523690773067,101627.7375,318.39331297254955,4479,15.150825060042111,50.97018053370315,125133,Dedo pulgar
395.65835411471323,174883.6725,417.6691916049831,5175,21.056056135943408,100.92218331975545,158659,Dedo pulgar
327.7630922693267,111371.9625,333.3080061034663,3594,12.02435029429865,46.39499754354761,131433,Dedo pulgar
337.34912718204487,125626.8975,353.99662917368886,4079,17.96795759122333,75.96894297921033,135277,Dedo pulgar
384.05486284289276,167762.02,409.07659533133926,3961,15.29697682550379,103.17381110813987,154006,Dedo pulgar
376.3366583541147,145764.3275,381.3146016564393,4665,15.000583321991183,50.448604175347164,150911,Dedo pulgar
378.53366583541145,152212.18,389.6570267603815,5673,22.906931265448893,63.52257759591046,151792,Dedo pulgar
411.29675810473816,182889.75,427.12254194248686,6775,28.688630152030612,88.81423622987421,164930,Dedo pulgar
382.2493765586035,157181.68,395.96679877946946,6109,20.6706918123221,74.93815336969297,153282,Dedo pulgar
318.8428927680798,107390.255,327.2956597295563,4811,17.676891695091648,57.227616743676975,127856,Dedo pulgar
383.1246882793017,161276.5975,401.0915250554687,5329,20.335129702069764,89.27204432808253,153633,Dedo pulgar
324.46633416458855,108698.2575,329.282841226482,4947,16.721468236970104,43.20663428710021,130111,Dedo pulgar
343.8902743142145,122903.59,350.13868289130505,5379,18.203914414213223,51.65747725449469,137900,Dedo pulgar
379.74812967581045,171229.1875,413.28220630083723,5616,24.714671755861943,129.61091037991056,152279,Dedo pulgar
296.99750623441395,96374.67,310.05537273943264,5119,18.860872196163147,72.24629200067164,119096,Dedo pulgar
423.6558603491272,209307.735,456.9308159596659,5779,23.55,143.81437926381054,169886,Dedo pulgar
474.3815461346633,253351.8325,502.7126738197005,3925,14.498189542146289,151.45225465015764,190227,Dedo pulgar
329.1197007481297,115159.0625,338.92754799959454,5314,18.3273020382161,62.52233506010534,131977,Dedo pulgar
296.54114713216956,92162.1975,303.2035068786988,4211,15.03753636737082,47.71761369643223,118913,Dedo pulgar
309.90773067331673,100819.6925,317.1250097681494,4669,16.17923051322281,52.66545606059665,124273,Dedo pulgar
299.3092269326683,93472.0675,305.3505691411316,3966,13.939153489362258,49.0596700269277,120023,Dedo pulgar
294.27680798004985,89961.1575,299.5610379561178,4337,15.262453931134402,43.65143251596693,118005,Dedo pulgar
366.3067331670823,153456.2325,391.2461483879796,4615,15.733324505647241,106.24687657415066,146889,Dedo pulgar
330.0947630922693,115791.145,339.85642413735746,4904,17.09151836438179,61.90322199488809,132368,Dedo pulgar
