MAV_total,VAR_total,RMS_total,Wav_Leng,Dasdv,Damv,iav,Mano_abierta
144.51,21149.868686868685,144.70096751577026,294,4.47213595499958,6.4002,14451,Mano_abierta
148.1,22224.78787878788,148.3325318330406,319,4.504767396095973,6.757999999999998,14810,Mano_abierta
160.03,26999.141414141413,163.4905196028198,522,8.888762625365862,25.441999999999997,16003,Mano_abierta
153.61,23864.19191919192,153.7060506291148,286,4.126778771669621,4.1377999999999995,15361,Mano_abierta
141.82,20339.39393939394,141.9013742005341,304,5.165933476814107,3.6527999999999996,14182,Mano_abierta
161.52,26491.31313131313,161.9456699019767,310,4.225942008426744,9.951199999999998,16152,Mano_abierta
159.31,25751.161616161615,159.6673103675264,290,3.556186812649843,8.373399999999998,15931,Mano_abierta
151.43,23211.161616161615,151.5884230408114,322,4.649318403396525,5.1158,15143,Mano_abierta
150.95,23065.0,151.11039011265902,345,5.162999676212043,5.226999999999999,15095,Mano_abierta
155.25,24405.222222222223,155.4386374103942,274,3.987353746407497,6.11,15525,Mano_abierta
164.33,27457.0202020202,164.87101018675176,258,3.496029493900505,11.729599999999998,16433,Mano_abierta
164.44,27362.424242424244,164.58675523868862,265,3.5746017649212027,5.8272,16444,Mano_abierta
154.14,24094.62626262626,154.4463660951594,248,3.197221015541813,8.000400000000003,15414,Mano_abierta
158.1,26262.666666666668,161.2452790006579,442,8.271894730002456,21.845999999999993,15810,Mano_abierta
147.05,21920.636363636364,147.31405228286948,296,4.280564486517207,7.288999999999999,14705,Mano_abierta
141.3,20201.555555555555,141.4197298823612,311,4.7513953293487985,4.526,14130,Mano_abierta
139.35,19637.868686868685,139.432743643665,271,4.337992832887327,3.951999999999998,13935,Mano_abierta
145.11,21399.62626262626,145.5528426379918,289,3.8362966148581,10.012000000000002,14511,Mano_abierta
142.23,20487.343434343435,142.4165369611268,204,2.971242640425522,5.6389999999999985,14223,Mano_abierta
159.13,25885.303030303032,160.08263491084847,229,2.9898819273332418,15.034199999999997,15913,Mano_abierta
146.14,21699.353535353537,146.56861874221235,283,3.7886059908012806,9.733599999999997,14614,Mano_abierta
141.94,20381.515151515152,142.04823124558786,244,3.2504855892091826,4.5424,14194,Mano_abierta
136.93,18961.727272727272,137.0113498948171,214,3.0748244591432297,3.7355999999999994,13693,Mano_abierta
142.14,20449.959595959597,142.28654187940614,272,3.892494720807615,5.102399999999998,14214,Mano_abierta
148.71,22454.29292929293,149.0964452963249,287,4.179072440703375,8.6436,14871,Mano_abierta
142.77,20646.717171717173,142.9694023209162,306,4.419881620061055,5.613200000000001,14277,Mano_abierta
139.36,19671.050505050505,139.55049265409278,218,3.1940601437700264,6.148800000000001,13936,Mano_abierta
143.44,20840.18181818182,143.637669154021,222,2.943920288775949,5.8439999999999985,14344,Mano_abierta
145.3,21357.37373737374,145.40907812100315,236,3.381470602318381,4.655999999999999,14530,Mano_abierta
158.6,25644.929292929293,159.33762895185808,373,5.338066081920445,13.371999999999998,15860,Mano_abierta
