MAV_total,VAR_total,RMS_total,Wav_Leng,Dasdv,Damv,iav,Dedo_anular
449.92,214179.53535353535,460.4755585261828,1959,30.61870425908076,71.94080000000002,44992,Dedo anular
413.58,178601.67676767678,420.49454217623327,1849,27.703881506118424,52.7972,41358,Dedo anular
445.77,208703.42424242425,454.55075624180853,1768,26.242459234352765,65.40720000000002,44577,Dedo anular
471.58,239640.88888888888,487.0774887017465,1949,30.82059523937023,86.77639999999995,47158,Dedo anular
472.56,236339.1313131313,483.7103885591046,2067,34.0141087779703,73.12159999999999,47256,Dedo anular
487.64,251000.7676767677,498.48847529306033,1765,28.81235004562306,69.7,48764,Dedo anular
529.09,293505.1212121212,539.0455175585824,2057,29.64111940524446,81.288,52909,Dedo anular
643.3,445718.22222222225,664.2748226449652,2155,36.59924931614104,140.572,64330,Dedo anular
915.11,857006.3535353536,921.1060145281866,1584,22.736079101931647,96.07899999999998,91511,Dedo anular
701.78,509769.9191919192,710.4028575392979,1927,33.914181652690914,92.02280000000002,70178,Dedo anular
662.15,456520.5353535354,672.2762304291294,2171,33.25794505213617,102.87400000000001,66215,Dedo anular
574.84,352915.51515151514,591.0891303348421,1932,29.65798306689043,116.82400000000001,57484,Dedo anular
605.38,376452.9898989899,610.4821537113104,1620,28.275698957146073,70.5868,60538,Dedo anular
530.12,293445.77777777775,538.9910203333633,2268,35.842246953374264,78.4608,53012,Dedo anular
460.82,223259.21212121213,470.1346828303566,2042,37.59002661624624,72.20400000000001,46082,Dedo anular
439.6,202786.48484848486,448.06095567456,1879,28.847386661042925,65.15200000000002,43960,Dedo anular
440.02,205943.77777777778,451.5355357001263,1835,27.183068110851504,67.9492,44002,Dedo anular
421.25,184112.75757575757,426.93281672881506,1419,19.146695787941052,50.695,42125,Dedo anular
434.87,199262.2323232323,444.1504362262858,1524,24.608038433722335,59.11800000000001,43487,Dedo anular
473.2,228184.58585858587,475.2922679783461,1551,20.092463032367903,35.08800000000001,47320,Dedo anular
445.4,207656.30303030304,453.4090206425099,1775,26.156676340309698,55.91599999999998,44540,Dedo anular
437.42,208326.1616161616,454.139736204618,1867,28.719648009997996,86.78680000000004,43742,Dedo anular
467.72,232776.50505050505,480.0507681485365,2066,33.16837973343609,85.01679999999999,46772,Dedo anular
480.17,247568.31313131313,495.06830841814144,2433,38.01421849888286,98.87800000000003,48017,Dedo anular
452.98,213825.49494949495,460.09481631507214,1726,25.174140973176698,54.09359999999999,45298,Dedo anular
534.7,313700.1818181818,557.2819573609036,2490,42.20273340757334,133.11999999999998,53470,Dedo anular
482.27,246318.19191919192,493.81677776276496,1810,28.03893397013906,77.93800000000002,48227,Dedo anular
461.88,226935.75757575757,473.98987330954657,1863,31.91260160836376,77.5248,46188,Dedo anular
427.11,188558.37373737374,432.05646621709064,1687,21.94782610435646,46.265,42711,Dedo anular
475.03,239071.60606060605,486.4986022590404,2000,31.157469069035095,85.97960000000003,47503,Dedo anular
467.49,231791.14141414143,479.0336418248723,1926,35.177184984508685,75.81540000000001,46749,Dedo anular
487.05,253521.8686868687,500.9856784380168,1951,29.42804956177186,91.54999999999998,48705,Dedo anular
440.36,207090.64646464647,452.7910555653678,2037,28.414855980702075,72.7696,44036,Dedo anular
521.52,293697.89898989897,539.22251436675,2370,38.984845540519736,116.72720000000001,52152,Dedo anular
494.17,258403.40404040404,505.7858934371341,1953,28.441504740769112,73.20520000000002,49417,Dedo anular
556.89,328392.9595959596,570.1833301667106,2265,36.21693894666785,105.51919999999998,55689,Dedo anular
559.14,332685.4747474748,573.8977435048861,2251,31.971420318336143,109.25320000000004,55914,Dedo anular
612.21,390577.8080808081,621.829582763638,1889,25.721311369871067,91.87099999999998,61221,Dedo anular
641.66,425820.1414141414,649.2780144129324,2006,32.85013414175524,78.80680000000001,64166,Dedo anular
543.22,306264.64646464644,550.6378119962341,2024,30.74265946711688,73.87720000000002,54322,Dedo anular
519.26,285016.28282828286,531.1931098950738,2145,35.00981103472095,94.87279999999998,51926,Dedo anular
426.35,190904.0303030303,434.73554030007716,1575,24.15543103496289,62.43500000000002,42635,Dedo anular
525.79,300053.0404040404,545.0252379477487,2348,38.2815196599449,124.93739999999998,52579,Dedo anular
531.83,304720.8787878788,549.2482771934747,2528,51.99766894542078,113.16540000000003,53183,Dedo anular
504.1,285740.202020202,531.86727667718,2417,38.659743371830054,125.462,50410,Dedo anular
530.74,314183.1313131313,557.7107673337498,2820,46.89231161809885,141.94639999999998,53074,Dedo anular
502.91,273303.1212121212,520.1635223658037,2506,39.684106173987125,103.64300000000001,50291,Dedo anular
485.49,261924.15151515152,509.21990338163334,2722,43.890129121972684,126.5766,48549,Dedo anular
505.4,276256.0606060606,522.9660600842085,2489,39.06779913551478,99.11200000000001,50540,Dedo anular
520.28,292887.49494949495,538.4780589773366,1775,30.4340651775658,116.66960000000003,52028,Dedo anular
564.4,340518.36363636365,580.6144848348171,2276,34.08249054303634,126.11999999999998,56440,Dedo anular
593.97,378784.7373737374,612.369896386163,2484,35.55476640538388,125.18879999999997,59397,Dedo anular
605.48,383864.9292929293,616.4627158231064,2156,33.16472508402549,87.34559999999999,60548,Dedo anular
483.04,243580.50505050505,491.06486333273733,1968,28.743730102441823,57.45119999999999,48304,Dedo anular
471.35,238436.85858585857,485.8523335335542,2059,34.57315476353048,91.277,47135,Dedo anular
596.56,388331.9393939394,620.03920843766,1993,29.895947497406347,160.00080000000003,59656,Dedo anular
865.92,771105.1313131313,873.7242585621622,2143,26.89429363829863,99.38,86592,Dedo anular
628.48,424428.9090909091,648.21649161372,2243,36.60725213794268,140.58960000000002,62848,Dedo anular
561.11,328988.3939393939,570.7000175223408,1755,25.173137839507984,81.54079999999999,56111,Dedo anular
498.36,261348.32323232322,508.6598470490864,2129,33.36256294202539,85.82079999999998,49836,Dedo anular
549.41,310050.57575757575,554.0307482441747,1608,21.22367650630881,57.541799999999995,54941,Dedo anular
600.34,373265.71717171714,607.8923095417477,2009,33.24974367638726,75.8752,60034,Dedo anular
496.92,262009.9797979798,509.3033280865147,1980,30.636678354646424,76.74320000000003,49692,Dedo anular
526.73,295407.9090909091,540.7900054549825,1883,27.399955761963845,103.1182,52673,Dedo anular
532.53,319004.61616161617,561.973816116018,2592,45.58331255885627,149.99139999999997,53253,Dedo anular
462.57,222924.49494949495,469.78213035406105,1794,29.817627489304193,58.04379999999998,46257,Dedo anular
480.74,247862.9090909091,495.3627761550115,2230,40.608254124380956,93.1812,48074,Dedo anular
461.87,225677.0202020202,472.6735131144964,2005,28.14195616814327,73.3484,46187,Dedo anular
462.49,231000.85858585857,478.2163213442218,2418,34.645972844523136,97.97540000000001,46249,Dedo anular
474.58,244372.54545454544,491.86260276626035,2330,38.65072816751048,92.81199999999998,47458,Dedo anular
528.0,300004.5252525252,544.9811739867718,2215,36.367512419685234,112.02,52800,Dedo anular
486.48,260921.61616161617,508.2444293841301,1812,34.48788397994492,114.66159999999999,48648,Dedo anular
502.59,272061.44444444444,518.9805680369931,2337,37.8005130636978,106.8834,50259,Dedo anular
493.46,258115.63636363635,505.5041839589461,2204,32.0227192076898,76.93799999999999,49346,Dedo anular
